fir_number,date_reported,year,city,state,primary_crime_type,description,ipc_section,location_type,beat_zone,victim_age,victim_gender,arrest_made,case_status,severity,latitude,longitude,law_type,ipc_final,hour,day_of_week,age_group
fir/ahm/2023/7498,2023-05-09 19:58:00,2023,Ahmedabad,Gujarat,DOMESTIC VIOLENCE,physical abuse,ipc 498a,railway station,41,70,male,False,pending trial,medium,22.99105688665348,72.49696790932674,IPC,IPC 498,19,Tuesday,65+
FIR/MUM/2022/2400,2022-01-06 08:23:00,2022,Mumbai,Maharashtra,RAPE/SEXUAL ASSAULT,sexual assault,Sec 376,street,25,11,female,False,under investigation,high,19.189357008485537,73.01495681698765,IPC,IPC 376,8,Thursday,Under 18
1502/2018,2018-01-01 00:00:00,2018,Nagpur,Maharashtra,MURDER,premeditated,IPC 302,market,33,49,female,False,under investigation,high,21.120802212544827,79.17321333542515,IPC,IPC 302,0,Monday,36-50
3362/2020,2020-05-21 03:44:00,2020,Bangalore,Karnataka,DOMESTIC VIOLENCE,mental cruelty,DV Act 2005,residence,20,48,male,False,pending trial,medium,12.948990885800017,77.55773506163295,DV,DV,3,Thursday,36-50
FIR41442020,2020-05-29 05:54:00,2020,Lucknow,Uttar Pradesh,FRAUD/CHEATING,online fraud,420,residence,8,40,unknown,False,charge sheeted,low,26.916942200029787,81.00624607232338,IPC,IPC 420,5,Friday,36-50
FIR18092015,2015-03-14 17:29:00,2015,Mumbai,Maharashtra,CYBER CRIME,identity theft,IT ACT 66,street,32,21,unknown,False,under investigation,low,19.0561253031349,72.77032681510836,IT,IT 66,17,Saturday,18-25
FIR17142019,2019-01-08 15:54:00,2019,Hyderabad,Telangana,DOMESTIC VIOLENCE,physical abuse,IPC 498A,highway,4,12,male,True,pending trial,medium,17.51023403216835,78.54402515555306,IPC,IPC 498,15,Tuesday,Under 18
3247/2015,2015-03-31 05:58:00,2015,Delhi,Delhi,THEFT,chain snatching,378 IPC,bank,17,12,female,False,under investigation,low,28.65367183611945,77.20487174533507,IPC,IPC 378,5,Tuesday,Under 18
FIR/BHO/2021/4295,2021-02-26 12:13:00,2021,Bhopal,Madhya Pradesh,BURGLARY,house breaking,IPC 457,street,34,48,female,False,under investigation,medium,23.131826388125912,77.4534772928274,IPC,IPC 457,12,Friday,36-50
FIR94192016,2016-10-03 00:00:00,2016,Delhi,Delhi,VEHICLE THEFT,car theft,IPC 379,street,42,73,male,False,charge sheeted,low,28.71368895225364,77.19958092905405,IPC,IPC 379,0,Monday,65+
FIR/CHE/2021/8390,2021-01-01 00:00:00,2021,Chennai,Tamil Nadu,ASSAULT,grievous hurt,ipc 351,railway station,19,23,female,False,under investigation,medium,13.023598715991715,80.30018934993522,IPC,IPC 351,0,Friday,18-25
FIR/DEL/2020/4530,2020-08-19 09:05:00,2020,Delhi,Delhi,FRAUD/CHEATING,upi fraud,ipc 420,residence,27,11,unknown,True,under investigation,low,28.559068264693728,77.05865923828796,IPC,IPC 420,9,Wednesday,Under 18
6612/2017,2017-11-19 05:27:00,2017,Ahmedabad,Gujarat,DOMESTIC VIOLENCE,physical abuse,DV Act 2005,bank,20,5,female,False,convicted,medium,23.04589711888253,72.66457982798329,DV,DV,5,Sunday,Under 18
FIR28042019,2019-06-04 23:06:00,2019,Delhi,Delhi,THEFT,mobile theft,Sec 378,street,14,63,female,True,closed,low,28.783746353028487,77.08538763405781,IPC,IPC 378,23,Tuesday,51-65
2152/2020,2020-08-25 10:35:00,2020,Mumbai,Maharashtra,VEHICLE THEFT,two wheeler,379 IPC,residence,21,23,female,True,closed,low,19.16543053452353,73.01241460080621,IPC,IPC 379,10,Tuesday,18-25
FIR61642017,2017-05-01 15:42:00,2017,Delhi,Delhi,THEFT,mobile theft,Sec 378,street,34,70,female,False,convicted,low,28.572836784269807,76.98960470439208,IPC,IPC 378,15,Monday,65+
KOL-2019-3221,2019-03-20 00:59:00,2019,Kolkata,West Bengal,THEFT,pickpocketing,378 IPC,railway station,20,50,unknown,False,under investigation,low,22.65488230471348,88.45063085131406,IPC,IPC 378,0,Wednesday,36-50
fir/che/2018/7538,2018-06-02 09:31:00,2018,Chennai,Tamil Nadu,BURGLARY,night burglary,IPC 457,railway station,44,25,male,False,closed,medium,13.167809333531697,80.33115144928614,IPC,IPC 457,9,Saturday,18-25
FIR19142023,2023-08-12 22:30:00,2023,Indore,Madhya Pradesh,ASSAULT,grievous hurt,IPC 351,office,9,69,unknown,False,under investigation,medium,22.594164079727044,75.90173275374505,IPC,IPC 351,22,Saturday,65+
1302/2015,2015-01-01 00:00:00,2015,Kolkata,West Bengal,ASSAULT,simple assault,351 IPC,bank,45,72,female,False,acquitted,medium,22.474705485318974,88.23611046697522,IPC,IPC 351,0,Thursday,65+
fir/kol/2020/7428,2020-06-10 17:50:00,2020,Kolkata,West Bengal,EXTORTION,online extortion,383 IPC,unknown,45,64,male,False,acquitted,medium,22.538227642245108,88.4669918313653,IPC,IPC 383,17,Wednesday,51-65
FIR25092015,2015-10-24 21:20:00,2015,Hyderabad,Telangana,RIOTING,communal riot,ipc 147,railway station,37,63,male,False,under investigation,medium,17.30702833279436,78.40591795811912,IPC,IPC 147,21,Saturday,51-65
KOL-2019-4936,2019-06-13 20:03:00,2019,Kolkata,West Bengal,KIDNAPPING,abduction for ransom,ipc 363,market,25,36,female,True,pending trial,high,22.71196714622423,88.35077738466524,IPC,IPC 363,20,Thursday,36-50
fir/ban/2017/8503,2017-12-17 01:18:00,2017,Bangalore,Karnataka,THEFT,shoplifting,Sec 378,market,28,54,female,False,closed,low,13.030304278122507,77.52534216354034,IPC,IPC 378,1,Sunday,51-65
fir/bhu/2020/2473,2020-05-12 13:54:00,2020,Bhubaneswar,Odisha,THEFT,shoplifting,IPC-378,street,25,59,female,False,charge sheeted,low,20.42606213892723,85.97102399662711,IPC,IPC 378,13,Tuesday,51-65
1762/2020,2020-05-05 12:54:00,2020,Hyderabad,Telangana,ROBBERY,armed robbery,IPC-392,atm,25,31,unknown,False,closed,high,17.421685322232463,78.43883853685793,IPC,IPC 392,12,Tuesday,26-35
MUM-2022-3891,2022-07-10 00:00:00,2022,Mumbai,Maharashtra,ASSAULT,road rage,Sec. 351,office,19,26,male,False,closed,medium,19.000008426640846,72.85180830297288,IPC,IPC 351,0,Sunday,26-35
FIR/DEL/2017/7830,2017-01-01 00:00:00,2017,Delhi,Delhi,THEFT,pickpocketing,378,street,33,77,male,False,charge sheeted,low,28.666643212045923,77.05819094289895,IPC,IPC 378,0,Sunday,65+
3097/2017,2017-12-13 11:54:00,2017,Guwahati,Assam,KIDNAPPING,child kidnapping,ipc 363,atm,1,64,female,True,under investigation,high,26.124703504026535,91.71973636399022,IPC,IPC 363,11,Wednesday,51-65
3217/2020,2020-02-21 01:35:00,2020,Lucknow,Uttar Pradesh,RIOTING,political violence,ipc 147,atm,13,34,unknown,True,closed,medium,26.872086009063253,80.96069400964366,IPC,IPC 147,1,Friday,26-35
FIR81642022,2022-11-24 12:55:00,2022,Delhi,Delhi,THEFT,chain snatching,IPC-378,atm,1,10,female,True,charge sheeted,low,28.62404093024734,77.00642705133953,IPC,IPC 378,12,Thursday,Under 18
FIR65892022,2022-04-25 14:49:00,2022,Ahmedabad,Gujarat,ASSAULT,grievous hurt,Sec. 351,street,25,47,male,True,charge sheeted,medium,22.996673862563203,72.48689312695933,IPC,IPC 351,14,Monday,36-50
7632/2015,2015-07-28 13:31:00,2015,Jaipur,Rajasthan,ASSAULT,grievous hurt,Sec. 351,residence,37,33,male,False,under investigation,medium,27.00700842220949,75.8562149479487,IPC,IPC 351,13,Tuesday,26-35
fir/kan/2016/2933,2016-10-10 04:01:00,2016,Kanpur,Uttar Pradesh,OTHER IPC OFFENSE,unlawful assembly,Other IPC,railway station,18,30,male,True,pending trial,low,26.31939893687029,80.43687483708987,IPC,IPC,4,Monday,26-35
8872/2017,2017-10-10 16:11:00,2017,Delhi,Delhi,DRUG OFFENSE,possession,Sec 20 NDPS,office,47,51,male,False,under investigation,low,28.66443450198279,76.98367960096478,NDPS,NDPS 20,16,Tuesday,51-65
FIR/DEL/2023/5300,2023-10-29 15:07:00,2023,Delhi,Delhi,DRUG OFFENSE,peddling,NDPS Act,market,22,48,female,False,charge sheeted,low,28.65782246841256,76.95619180034703,NDPS,NDPS,15,Sunday,36-50
2727/2018,2018-11-28 18:33:00,2018,Hyderabad,Telangana,BURGLARY,house breaking,ipc 457,school,35,69,female,False,closed,medium,17.49216323461631,78.51553347235249,IPC,IPC 457,18,Wednesday,65+
KAN-2022-4101,2022-10-21 09:15:00,2022,Kanpur,Uttar Pradesh,DACOITY,armed dacoity,395 IPC,school,33,67,male,False,under investigation,high,26.526162020194302,80.30063980559466,IPC,IPC 395,9,Friday,65+
DEL-2018-4901,2018-01-09 11:19:00,2018,Delhi,Delhi,ASSAULT,simple assault,351 IPC,school,15,30,female,True,charge sheeted,medium,28.70081194006353,77.09043499985644,IPC,IPC 351,11,Tuesday,26-35
BAN-2020-2146,2020-06-14 11:56:00,2020,Bangalore,Karnataka,ASSAULT,simple assault,Sec. 351,railway station,39,16,unknown,False,acquitted,medium,13.082309450630516,77.67002881903905,IPC,IPC 351,11,Sunday,Under 18
FIR96192021,2021-06-27 00:00:00,2021,Mumbai,Maharashtra,COUNTERFEITING,fake currency,489A IPC,school,13,19,male,False,charge sheeted,low,19.139236488864,72.99479129591445,IPC,IPC 489,0,Sunday,18-25
DEL-2023-4481,2023-07-29 14:02:00,2023,Delhi,Delhi,ASSAULT,simple assault,Sec. 351,street,33,50,male,False,acquitted,medium,28.56966371912624,77.01033053595887,IPC,IPC 351,14,Saturday,36-50
FIR64642022,2022-12-25 14:55:00,2022,Chennai,Tamil Nadu,BURGLARY,house breaking,IPC 457,residence,20,76,male,False,charge sheeted,medium,13.01146910729279,80.19922470070128,IPC,IPC 457,14,Sunday,65+
6892/2022,2022-03-16 20:52:00,2022,Kochi,Kerala,DRUG OFFENSE,possession,NDPS Act,residence,22,27,unknown,False,charge sheeted,low,9.881165919611924,76.16542889772998,NDPS,NDPS,20,Wednesday,26-35
4922/2017,2017-07-31 19:05:00,2017,Kolkata,West Bengal,BURGLARY,house breaking,Sec. 457,market,17,73,male,True,charge sheeted,medium,22.463736844035072,88.43766966246524,IPC,IPC 457,19,Monday,65+
BAN-2016-1196,2016-07-29 13:27:00,2016,Bangalore,Karnataka,FRAUD/CHEATING,bank fraud,420,bank,36,68,unknown,False,closed,low,12.95876212503012,77.62783588738431,IPC,IPC 420,13,Friday,65+
FIR/AHM/2018/6725,2018-06-22 19:39:00,2018,Ahmedabad,Gujarat,THEFT,chain snatching,IPC-378,bank,38,7,male,False,closed,low,23.113390933228736,72.63440012966261,IPC,IPC 378,19,Friday,Under 18
fir/kol/2016/6398,2016-01-01 00:00:00,2016,Kolkata,West Bengal,CYBER CRIME,identity theft,IT Act 66,residence,25,37,male,True,acquitted,low,22.65132847779648,88.39100105079649,IT,IT 66,0,Friday,36-50
FIR37042022,2022-03-01 06:46:00,2022,Kanpur,Uttar Pradesh,FRAUD/CHEATING,investment scam,Sec 420,school,47,77,female,False,closed,low,26.562538474124025,80.43427492948292,IPC,IPC 420,6,Tuesday,65+
fir/del/2021/6918,2021-01-01 00:00:00,2021,Delhi,Delhi,THEFT,shoplifting,IPC 378,atm,31,18,female,False,under investigation,low,28.85331115781016,76.96254250674001,IPC,IPC 378,0,Friday,Under 18
FIR/DEL/2016/4785,2016-03-03 13:41:00,2016,Delhi,Delhi,VEHICLE THEFT,two wheeler,IPC 379,school,9,68,female,False,charge sheeted,low,28.624410955518343,76.96170772929464,IPC,IPC 379,13,Thursday,65+
FIR16242022,2022-04-17 20:56:00,2022,Chennai,Tamil Nadu,KIDNAPPING,abduction for ransom,IPC-363,market,9,67,male,True,under investigation,high,13.149585773130775,80.13837376422296,IPC,IPC 363,20,Sunday,65+
HYD-2019-5051,2019-07-27 00:00:00,2019,Hyderabad,Telangana,ROBBERY,bank robbery,Sec 392,street,23,44,unknown,False,convicted,high,17.427991623111875,78.57427999368952,IPC,IPC 392,0,Saturday,36-50
FIR/SUR/2023/7480,2023-05-16 06:56:00,2023,Surat,Gujarat,THEFT,mobile theft,IPC-378,market,25,36,female,False,closed,low,21.19989814539405,72.75223427335666,IPC,IPC 378,6,Tuesday,36-50
FIR/DEL/2021/6535,2021-08-28 15:42:00,2021,Delhi,Delhi,ASSAULT,road rage,ipc 351,unknown,26,51,unknown,False,pending trial,medium,28.672730501377547,77.06639436390867,IPC,IPC 351,15,Saturday,51-65
4352/2021,2021-04-21 13:04:00,2021,Delhi,Delhi,THEFT,pickpocketing,378 IPC,railway station,19,70,female,False,charge sheeted,low,28.837806893514752,77.21861572758722,IPC,IPC 378,13,Wednesday,65+
FIR35742019,2019-01-01 00:00:00,2019,Lucknow,Uttar Pradesh,THEFT,shoplifting,378,office,21,26,male,False,charge sheeted,low,26.732936015903512,80.82388657017856,IPC,IPC 378,0,Tuesday,26-35
KOL-2016-1506,2016-11-22 05:46:00,2016,Kolkata,West Bengal,ROBBERY,armed robbery,Sec 392,street,25,41,female,False,acquitted,high,22.68089038975509,88.41753914931343,IPC,IPC 392,5,Tuesday,36-50
FIR/HYD/2019/4780,2019-05-28 21:43:00,2019,Hyderabad,Telangana,BURGLARY,house breaking,IPC 457,residence,4,5,unknown,False,pending trial,medium,17.264184873340827,78.53660204123472,IPC,IPC 457,21,Tuesday,Under 18
DEL-2021-3931,2021-01-30 00:00:00,2021,Delhi,Delhi,THEFT,pickpocketing,Sec 378,atm,43,65,unknown,False,pending trial,low,28.57074018500876,77.05653044731368,IPC,IPC 378,0,Saturday,51-65
fir/luc/2021/6678,2021-01-01 00:00:00,2021,Lucknow,Uttar Pradesh,KIDNAPPING,child kidnapping,IPC-363,office,36,65,unknown,False,under investigation,high,26.952375634043477,80.93826615565946,IPC,IPC 363,0,Friday,51-65
1947/2022,2022-02-05 00:00:00,2022,Mumbai,Maharashtra,BURGLARY,house breaking,IPC 457,railway station,29,54,female,False,charge sheeted,medium,18.95846650812993,72.98338494015827,IPC,IPC 457,0,Saturday,51-65
1212/2018,2018-02-02 15:40:00,2018,Mumbai,Maharashtra,THEFT,shoplifting,378 IPC,street,19,27,male,False,closed,low,19.134210022419484,72.75565998722253,IPC,IPC 378,15,Friday,26-35
CHE-2015-1026,2015-02-21 07:02:00,2015,Chennai,Tamil Nadu,THEFT,pickpocketing,IPC-378,bank,12,69,male,False,under investigation,low,12.950104786608096,80.29966382227644,IPC,IPC 378,7,Saturday,65+
FIR86992021,2021-05-10 00:00:00,2021,Chandigarh,Punjab,THEFT,pickpocketing,378,atm,36,76,female,False,closed,low,30.78556493561181,76.74776697299244,IPC,IPC 378,0,Monday,65+
FIR35042020,2020-02-17 03:07:00,2020,Bangalore,Karnataka,ATTEMPT TO MURDER,stabbing,IPC 307,residence,13,41,male,False,charge sheeted,high,12.8907022083061,77.73141769790698,IPC,IPC 307,3,Monday,36-50
FIR45892017,2017-08-21 04:03:00,2017,Nagpur,Maharashtra,ASSAULT,road rage,IPC 351,bank,28,56,female,False,under investigation,medium,21.28619057945797,78.98422691357602,IPC,IPC 351,4,Monday,51-65
fir/hyd/2015/3168,2015-05-15 07:41:00,2015,Hyderabad,Telangana,THEFT,shoplifting,IPC-378,highway,6,32,male,False,charge sheeted,low,17.393061922077486,78.46965301339635,IPC,IPC 378,7,Friday,26-35
1792/2021,2021-09-10 20:14:00,2021,Delhi,Delhi,ATTEMPT TO MURDER,shooting,Sec 307,market,25,25,male,False,charge sheeted,high,28.81251358738918,77.06109963275941,IPC,IPC 307,20,Friday,18-25
FIR/KAN/2022/2320,2022-09-28 03:47:00,2022,Kanpur,Uttar Pradesh,CYBER CRIME,phishing,66C IT Act,school,21,50,male,False,convicted,low,26.522720563278963,80.3851494403421,IT,IT 66,3,Wednesday,36-50
FIR/BAN/2018/5405,2018-11-21 02:14:00,2018,Bangalore,Karnataka,ASSAULT,grievous hurt,IPC 352,highway,39,15,female,True,pending trial,medium,12.999011434828502,77.695237533582,IPC,IPC 352,2,Wednesday,Under 18
DEL-2023-3411,2023-07-17 00:00:00,2023,Delhi,Delhi,THEFT,shoplifting,IPC 378,bank,7,54,female,False,under investigation,low,28.66032065741514,77.04911131840926,IPC,IPC 378,0,Monday,51-65
FIR53042019,2019-02-22 15:23:00,2019,Jaipur,Rajasthan,ASSAULT,road rage,ipc 351,office,41,14,male,True,charge sheeted,medium,26.952394434879423,75.70198453229976,IPC,IPC 351,15,Friday,Under 18
7542/2023,2023-01-01 00:00:00,2023,Chandigarh,Punjab,CYBER CRIME,phishing,IT Act 66,street,18,26,male,False,convicted,low,30.78035142217956,76.62969094561323,IT,IT 66,0,Sunday,26-35
fir/mum/2022/6078,2022-01-01 00:00:00,2022,Mumbai,Maharashtra,THEFT,pickpocketing,Sec 378,residence,24,6,male,False,closed,low,19.162031981591287,72.89208605677011,IPC,IPC 378,0,Saturday,Under 18
AHM-2016-1061,2016-03-04 05:33:00,2016,Ahmedabad,Gujarat,DRUG OFFENSE,possession,NDPS Act,unknown,6,16,female,False,closed,low,23.164003584390947,72.6607699278,NDPS,NDPS,5,Friday,Under 18
MUM-2016-6716,2016-12-31 05:36:00,2016,Mumbai,Maharashtra,BURGLARY,house breaking,457 IPC,school,17,32,male,False,under investigation,medium,19.216947761102624,72.88830006648755,IPC,IPC 457,5,Saturday,26-35
FIR/HYD/2019/8405,2019-07-08 18:27:00,2019,Hyderabad,Telangana,ASSAULT,grievous hurt,IPC 352,street,35,44,male,False,under investigation,medium,17.498294690408574,78.46704496658238,IPC,IPC 352,18,Monday,36-50
FIR74192023,2023-02-04 00:00:00,2023,Hyderabad,Telangana,ROBBERY,armed robbery,Sec 392,highway,36,15,female,False,closed,high,17.360690342854582,78.34502028040644,IPC,IPC 392,0,Saturday,Under 18
FIR/KOL/2016/1670,2016-01-01 00:00:00,2016,Kolkata,West Bengal,DOMESTIC VIOLENCE,physical abuse,DV Act 2005,bank,18,67,male,False,closed,medium,22.66522782156827,88.45421089894326,DV,DV,0,Friday,65+
fir/guw/2023/1588,2023-05-30 05:14:00,2023,Guwahati,Assam,ASSAULT,grievous hurt,351 IPC,residence,4,36,male,True,convicted,medium,26.268950672565246,91.67664753362251,IPC,IPC 351,5,Tuesday,36-50
FIR23342018,2018-01-01 00:00:00,2018,Delhi,Delhi,RAPE/SEXUAL ASSAULT,sexual assault,376 IPC,street,46,8,unknown,False,acquitted,high,28.74992468942108,77.15167457560293,IPC,IPC 376,0,Monday,Under 18
6907/2023,2023-01-08 00:00:00,2023,Mumbai,Maharashtra,ATTEMPT TO MURDER,shooting,307 IPC,school,14,5,male,False,under investigation,high,19.057868669761827,72.87615687549382,IPC,IPC 307,0,Sunday,Under 18
IND-2023-6251,2023-12-04 00:00:00,2023,Indore,Madhya Pradesh,CYBER CRIME,hacking,Sec 66 IT Act,highway,5,45,male,False,charge sheeted,low,22.86623080043181,76.00507677969911,IT,IT 66,0,Monday,36-50
FIR/MUM/2022/7120,2022-08-23 15:14:00,2022,Mumbai,Maharashtra,RAPE/SEXUAL ASSAULT,molestation,ipc 376,school,27,57,male,False,under investigation,high,19.02177287469745,72.81383852968129,IPC,IPC 376,15,Tuesday,51-65
fir/kol/2020/6003,2020-04-09 00:00:00,2020,Kolkata,West Bengal,KIDNAPPING,child kidnapping,363 IPC,office,2,34,female,False,under investigation,high,22.601017391073007,88.42700403134585,IPC,IPC 363,0,Thursday,26-35
FIR/SUR/2022/1290,2022-10-26 05:05:00,2022,Surat,Gujarat,THEFT,shoplifting,IPC-378,bank,25,62,male,False,charge sheeted,low,21.167010348561995,72.73712935953473,IPC,IPC 378,5,Wednesday,51-65
FIR85442016,2016-08-19 20:55:00,2016,Pune,Maharashtra,CYBER CRIME,identity theft,IT Act 66,residence,37,13,male,False,acquitted,low,18.500163335148464,73.98496118784674,IT,IT 66,20,Friday,Under 18
FIR19042019,2019-03-06 04:12:00,2019,Surat,Gujarat,FRAUD/CHEATING,investment scam,420,residence,47,56,female,False,acquitted,low,21.16528464070984,72.78513873775194,IPC,IPC 420,4,Wednesday,51-65
FIR/PAT/2015/3500,2015-09-23 11:04:00,2015,Patna,Bihar,ROBBERY,armed robbery,392 IPC,railway station,47,20,unknown,False,charge sheeted,high,25.73320575802679,85.03342932215227,IPC,IPC 392,11,Wednesday,18-25
FIR55092016,2016-08-04 08:04:00,2016,Kochi,Kerala,BURGLARY,house breaking,IPC 457,bank,25,25,female,False,closed,medium,9.975067967749473,76.16021327605432,IPC,IPC 457,8,Thursday,18-25
FIR12442022,2022-01-23 08:19:00,2022,Ahmedabad,Gujarat,ROBBERY,armed robbery,ipc 392,market,42,11,female,False,charge sheeted,high,22.909120389665325,72.72085317059141,IPC,IPC 392,8,Sunday,Under 18
FIR/KAN/2023/1150,2023-01-01 00:00:00,2023,Kanpur,Uttar Pradesh,EXTORTION,online extortion,Sec 383,highway,25,14,female,False,charge sheeted,medium,26.52147364567489,80.42841723311265,IPC,IPC 383,0,Sunday,Under 18
fir/mum/2021/4668,2021-02-08 14:20:00,2021,Mumbai,Maharashtra,THEFT,chain snatching,IPC 378,residence,39,71,unknown,False,pending trial,low,18.93394970385776,72.86325841145072,IPC,IPC 378,14,Monday,65+
FIR70192016,2016-08-21 00:00:00,2016,Delhi,Delhi,THEFT,pickpocketing,378,school,3,71,unknown,False,under investigation,low,28.75649632714044,76.99748419960594,IPC,IPC 378,0,Sunday,65+
FIR/BAN/2021/5790,2021-01-01 00:00:00,2021,Bangalore,Karnataka,ROBBERY,bank robbery,IPC 392,street,25,70,male,False,closed,high,12.915226277703884,77.46518712139058,IPC,IPC 392,0,Friday,65+
FIR/MUM/2023/6985,2023-03-16 05:03:00,2023,Mumbai,Maharashtra,THEFT,pickpocketing,Sec 378,highway,44,40,female,True,charge sheeted,low,19.174088552715062,72.8652137826801,IPC,IPC 378,5,Thursday,36-50
CHE-2021-8081,2021-05-30 12:06:00,2021,Chennai,Tamil Nadu,ASSAULT,simple assault,Sec. 351,bank,40,10,male,False,convicted,medium,13.060049143949996,80.3230323320312,IPC,IPC 351,12,Sunday,Under 18
FIR79692018,2018-03-25 00:01:00,2018,Kolkata,West Bengal,ASSAULT,simple assault,ipc 351,street,46,78,female,False,closed,medium,22.563471632810067,88.48547129104671,IPC,IPC 351,0,Sunday,65+
GUW-2022-8396,2022-11-12 19:13:00,2022,Guwahati,Assam,CYBER CRIME,identity theft,66C IT Act,market,5,59,male,False,under investigation,low,26.267241536955783,91.58992499364982,IT,IT 66,19,Saturday,51-65
7517/2023,2023-10-11 15:28:00,2023,Lucknow,Uttar Pradesh,KIDNAPPING,abduction for ransom,363 IPC,bank,42,25,male,False,closed,high,26.868227452248483,80.80484071760506,IPC,IPC 363,15,Wednesday,18-25
FIR/MUM/2020/7320,2020-07-04 09:43:00,2020,Mumbai,Maharashtra,DOMESTIC VIOLENCE,physical abuse,ipc 498a,highway,23,34,female,False,pending trial,medium,19.180036929752816,73.00930256896328,IPC,IPC 498,9,Saturday,26-35
fir/hyd/2022/1603,2022-05-01 00:00:00,2022,Hyderabad,Telangana,RAPE/SEXUAL ASSAULT,rape,IPC 376,unknown,37,44,male,False,pending trial,high,17.393921111358324,78.35062724627984,IPC,IPC 376,0,Sunday,36-50
FIR/HYD/2018/6525,2018-08-05 23:22:00,2018,Hyderabad,Telangana,THEFT,mobile theft,IPC 378,highway,44,11,male,False,under investigation,low,17.417619955296615,78.59460711015409,IPC,IPC 378,23,Sunday,Under 18
IND-2020-5981,2020-07-28 12:40:00,2020,Indore,Madhya Pradesh,OTHER IPC OFFENSE,public nuisance,IPC 107,residence,13,16,male,True,acquitted,low,22.727246162865548,75.8185025470879,IPC,IPC 107,12,Tuesday,Under 18
FIR/JAI/2017/7520,2017-06-28 16:41:00,2017,Jaipur,Rajasthan,THEFT,chain snatching,Sec 378,street,2,22,male,False,convicted,low,26.86386998412903,75.88864601090398,IPC,IPC 378,16,Wednesday,18-25
FIR/MUM/2018/5980,2018-09-01 01:34:00,2018,Mumbai,Maharashtra,CYBER CRIME,identity theft,it act 66,market,2,5,female,True,convicted,low,19.044988301816183,72.96070765476237,IT,IT 66,1,Saturday,Under 18
JAI-2017-7811,2017-07-15 00:00:00,2017,Jaipur,Rajasthan,THEFT,pickpocketing,Sec 378,residence,44,72,male,False,closed,low,27.048741602307505,75.84017910796223,IPC,IPC 378,0,Saturday,65+
4397/2020,2020-01-17 04:23:00,2020,Pune,Maharashtra,ASSAULT,simple assault,IPC 351,residence,45,11,male,False,charge sheeted,medium,18.376466378204203,73.75288812957675,IPC,IPC 351,4,Friday,Under 18
fir/mum/2023/1733,2023-07-23 19:52:00,2023,Mumbai,Maharashtra,ROBBERY,unarmed robbery,IPC 392,railway station,46,6,male,False,charge sheeted,high,18.933963737611563,72.7743518529775,IPC,IPC 392,19,Sunday,Under 18
CHE-2019-1926,2019-01-01 00:00:00,2019,Chennai,Tamil Nadu,ROBBERY,armed robbery,ipc 392,office,34,73,female,True,under investigation,high,13.22339278178092,80.26372017552721,IPC,IPC 392,0,Tuesday,65+
FIR/NAG/2017/1805,2017-11-14 09:41:00,2017,Nagpur,Maharashtra,ASSAULT,simple assault,Sec. 351,highway,19,24,male,False,charge sheeted,medium,21.077507342693337,79.13378024535658,IPC,IPC 351,9,Tuesday,18-25
1147/2016,2016-12-24 00:00:00,2016,Delhi,Delhi,ROBBERY,bank robbery,ipc 392,highway,16,13,male,False,charge sheeted,high,28.66070940016556,77.22731255740098,IPC,IPC 392,0,Saturday,Under 18
PUN-2018-8286,2018-01-01 00:00:00,2018,Pune,Maharashtra,VEHICLE THEFT,two wheeler,379 IPC,street,9,18,female,True,closed,low,18.47025123799179,73.80175465877218,IPC,IPC 379,0,Monday,Under 18
3272/2021,2021-12-12 16:09:00,2021,Mumbai,Maharashtra,THEFT,pickpocketing,378,railway station,47,60,male,True,closed,low,19.102302697117963,73.01695671990365,IPC,IPC 378,16,Sunday,51-65
fir/kan/2015/1428,2015-11-19 05:50:00,2015,Kanpur,Uttar Pradesh,MURDER,culpable homicide,Sec. 302,school,12,67,male,False,under investigation,high,26.53479600728535,80.38394066414804,IPC,IPC 302,5,Thursday,65+
FIR96442023,2023-09-02 22:33:00,2023,Mumbai,Maharashtra,BURGLARY,night burglary,Sec. 457,residence,2,17,female,True,closed,medium,19.087552285692464,72.91111052087868,IPC,IPC 457,22,Saturday,Under 18
fir/kol/2015/6753,2015-04-26 22:15:00,2015,Kolkata,West Bengal,ROBBERY,armed robbery,IPC-392,bank,6,41,male,True,charge sheeted,high,22.584008797502182,88.48388502901327,IPC,IPC 392,22,Sunday,36-50
FIR/DEL/2023/4850,2023-09-08 16:14:00,2023,Delhi,Delhi,DOMESTIC VIOLENCE,dowry harassment,Sec 498A,highway,38,74,female,False,closed,medium,28.84909178657998,77.0443294640564,IPC,IPC 498,16,Friday,65+
PAT-2020-1426,2020-09-12 18:55:00,2020,Patna,Bihar,BURGLARY,house breaking,457 IPC,school,10,64,male,False,convicted,medium,25.518335510896502,85.0795984304124,IPC,IPC 457,18,Saturday,51-65
fir/kan/2023/2808,2023-01-24 03:17:00,2023,Kanpur,Uttar Pradesh,VEHICLE THEFT,car theft,379 IPC,office,37,71,unknown,True,closed,low,26.43349810429728,80.4122827918041,IPC,IPC 379,3,Tuesday,65+
FIR33792016,2016-06-08 00:00:00,2016,Patna,Bihar,EXTORTION,online extortion,Sec 383,railway station,16,30,male,False,under investigation,medium,25.51086830076501,84.99695691553558,IPC,IPC 383,0,Wednesday,26-35
