fir_number,date_reported,year,city,state,primary_crime_type,description,ipc_section,location_type,beat_zone,victim_age,victim_gender,arrest_made,case_status,severity,latitude,longitude
fir/che/2023/6468,11 May 2023 11:41 AM,2023,Chennai,Tamil Nadu,CYBER CRIME,Social Media Abuse,IT ACT 66,Office,31.0,17.0,Female,Yes,PENDING TRIAL,low,13.010821584723402,80.18423304273371
LUC-2021-8231,11/05/2021 17:06:00,2021,Lucknow,Uttar Pradesh,FRAUD/CHEATING,BANK FRAUD,420,Street,24.0,27.0,female,YES,Convicted,Low,26.9627877363984,80.844524191174
FIR42092015,2015-07-26 21:10:00,2015,Nagpur,Maharashtra,DRUG OFFENSE,Possession,NDPS Act,OFFICE,12.0,34.0,Female,,CLOSED,LOW,21.151465532454196,78.98495336673199
fir/bho/2020/6523,20-05-2020,2020,Bhopal,Madhya Pradesh,BURGLARY,Shop Breaking,ipc 457,ATM,2.0,39.0,Female,N,CONVICTED,Medium,23.369792277786697,77.35915119936269
fir/ban/2023/4013,15/08/23 06:25,2023,Bangalore,Karnataka,FRAUD/CHEATING,INVESTMENT SCAM,IPC 420,School,29.0,64.0,F,TRUE,under investigation,Low,12.969193320267868,77.54488684436876
FIR82392020,15/02/2020 18:56:00,2020,Hyderabad,Telangana,ROBBERY,Armed Robbery,IPC 392,STREET,1.0,76.0,f,True,CONVICTED,HIGH,17.436992176148127,78.41430473748942
FIR55992023,30/09/2023 19:48:00,2023,Kochi,Kerala,CYBER CRIME,Identity Theft,Sec 66 IT Act,ATM,13.0,49.0,F,Yes,Under Investigation,low,9.890102880181354,76.29676150628087
fir/del/2017/2338,12/06/2017 17:14:00,2017,Delhi,Delhi,DOMESTIC VIOLENCE,Dowry Harassment,IPC 498A,ATM,18.0,14.0,FEMALE,No,Closed,MEDIUM,28.752944094453763,77.10692027492263
MUM-2022-7336,18/11/2022 00:31:00,2022,Mumbai,Maharashtra,THEFT,Mobile Theft,378,HIGHWAY,43.0,,Male,,UNDER INVESTIGATION,Low,19.183050296161554,72.97899853835405
DEL-2017-7876,26 December 2017 08:09 AM,2017,Delhi,Delhi,CYBER CRIME,PHISHING,it act 66,OFFICE,9.0,25.0,FEMALE,,closed,low,28.577939436000594,76.98330249381866
BAN-2018-5296,02/02/2018 05:22:00,2018,Bangalore,Karnataka,ASSAULT,SIMPLE ASSAULT,ipc 351,Residence,39.0,8.0,MALE,N,CHARGE SHEETED,Medium,,
FIR/BAN/2020/4585,2020-03-29 22:37:00,2020,Bangalore,Karnataka,ASSAULT,ROAD RAGE,IPC 352,MARKET,46.0,35.0,male,,Charge Sheeted,Medium,13.091347789767664,77.72259374524197
FIR25242020,07 December 2020 02:25 AM,2020,Delhi,Delhi,ROBBERY,Armed Robbery,IPC 392,Railway Station,29.0,49.0,Female,,,HIGH,28.832551169553298,77.04827984070658
fir/guw/2022/7943,22/01/2022 01:37:00,2022,Guwahati,Assam,CYBER CRIME,Social Media Abuse,Sec 66 IT Act,,46.0,6.0,,,Acquitted,low,26.20362774050452,91.75699936695946
1622/2023,1687752840,2023,Hyderabad,Telangana,KIDNAPPING,Child Kidnapping,ipc 363,BANK,6.0,77.0,Male,False,,High,17.294982456312365,78.34046099350866
FIR49142017,07/09/2017 01:35:00,2017,Lucknow,Uttar Pradesh,VEHICLE THEFT,CAR THEFT,IPC 379,OFFICE,33.0,8.0,,FALSE,closed,Low,26.94186187993464,81.06270284222678
fir/pat/2023/3813,15/06/23 00:43,2023,Patna,Bihar,ROBBERY,Armed Robbery,Sec 392,Residence,,25.0,female,n,CLOSED,HIGH,25.732773234736275,85.15057008962745
FIR13642016,09 April 2016 06:16 AM,2016,Bangalore,Karnataka,FRAUD/CHEATING,BANK FRAUD,420 IPC,ATM,,,F,no,Convicted,Low,13.047763626327018,77.44766844882177
8572/2023,21 February 2023 08:07 PM,2023,Delhi,Delhi,DRUG OFFENSE,Trafficking,Sec 20 NDPS,Bank,40.0,10.0,F,,CONVICTED,LOW,28.686342802658228,77.20219305492763
1067/2022,27-06-2022,2022,Kolkata,West Bengal,VEHICLE THEFT,CAR THEFT,379 IPC,Street,30.0,,M,Yes,Pending Trial,Low,,
FIR40942018,1545063000,2018,Kochi,Kerala,VEHICLE THEFT,Two Wheeler,IPC 379,RAILWAY STATION,1.0,52.0,m,,,Low,9.841227262479773,76.40620785395049
DEL-2021-4366,1626108120,2021,Delhi,Delhi,ASSAULT,Simple Assault,Sec. 351,HIGHWAY,22.0,68.0,M,,Under Investigation,Medium,28.73160674031021,77.24030281682552
fir/bhu/2020/8543,29/08/2020 03:42:00,2020,Bhubaneswar,Odisha,THEFT,Shoplifting,IPC 378,MARKET,6.0,12.0,Female,,CONVICTED,Low,20.385310553267832,85.93888423824562
fir/hyd/2018/9878,1521327480,2018,Hyderabad,Telangana,DACOITY,GANG ROBBERY,395 IPC,Railway Station,41.0,44.0,Female,,Pending Trial,High,17.52672219365027,78.50716033727926
3287/2020,02/01/2020 17:54:00,2020,Hyderabad,Telangana,BURGLARY,House Breaking,457 IPC,BANK,38.0,14.0,M,,Charge Sheeted,Medium,,
2157/2022,16/07/22 21:34,2022,Jaipur,Rajasthan,ROBBERY,Bank Robbery,IPC 392,Bank,,42.0,m,,,HIGH,26.89338663417924,75.85600016618612
FIR17092019,30/08/19 12:30,2019,Bangalore,Karnataka,FRAUD/CHEATING,ONLINE FRAUD,IPC-420,ATM,35.0,43.0,Male,NO,PENDING TRIAL,Low,13.088492181512128,77.44446098089759
fir/mum/2015/6668,18 April 2015 02:39 AM,2015,Mumbai,Maharashtra,FRAUD/CHEATING,Bank Fraud,IPC 420,RAILWAY STATION,33.0,27.0,F,,Acquitted,Low,19.110647751364795,72.7623843162282
FIR/AHM/2015/1070,1430711340,2015,Ahmedabad,Gujarat,BURGLARY,house breaking,IPC 457,RESIDENCE,11.0,,M,no,CLOSED,Medium,23.1252202617176,72.47199989483072
DEL-2022-4346,09/04/2022 02:00:00,2022,Delhi,Delhi,ASSAULT,simple assault,IPC 351,Bank,37.0,29.0,MALE,Yes,Closed,Medium,,
FIR/BAN/2016/6280,13/10/2016 09:38:00,2016,Bangalore,Karnataka,THEFT,MOBILE THEFT,378,Street,6.0,58.0,Male,Yes,Convicted,Low,12.83835821765011,77.70709693494908
FIR/MUM/2021/2890,02/25/2021 11:40:00,2021,Mumbai,Maharashtra,MURDER,Premeditated,302 IPC,RESIDENCE,17.0,67.0,female,YES,closed,High,18.991767032139293,72.78299325695204
FIR/KOL/2021/1470,1633545480,2021,Kolkata,West Bengal,VEHICLE THEFT,Two Wheeler,ipc 379,HIGHWAY,,,female,y,charge sheeted,Low,,
fir/nag/2015/1703,17/08/2015 03:18:00,2015,Nagpur,Maharashtra,DRUG OFFENSE,POSSESSION,ndps act,RESIDENCE,23.0,31.0,F,,CLOSED,LOW,21.291765036036818,79.21516104700727
FIR/BAN/2021/7470,1626423720,2021,Bangalore,Karnataka,CYBER CRIME,PHISHING,IT Act 66,Highway,42.0,57.0,,no,CHARGE SHEETED,low,12.873445808696983,77.44780257298231
FIR/BAN/2016/8175,29/01/2016 22:05:00,2016,Bangalore,Karnataka,KIDNAPPING,Child Kidnapping,Sec 363,Residence,30.0,6.0,female,,Acquitted,High,,
FIR95142021,08/30/2021 08:26:00,2021,Bangalore,Karnataka,MURDER,Culpable Homicide,ipc 302,Market,44.0,44.0,Female,no,Convicted,High,13.099220137507091,77.48170481443213
FIR45842017,03/02/2017 23:21:00,2017,Delhi,Delhi,OTHER IPC OFFENSE,Public Nuisance,ipc 151,OFFICE,11.0,45.0,M,,UNDER INVESTIGATION,Low,28.679439847956385,76.96361662677333
fir/ban/2018/2593,2018-05-19 12:26:00,2018,Bangalore,Karnataka,FRAUD/CHEATING,ONLINE FRAUD,420,HIGHWAY,31.0,53.0,m,n,CONVICTED,Low,12.957826607945192,77.5766571373051
6007/2022,16/04/2022 15:12:00,2022,Pune,Maharashtra,ASSAULT,simple assault,Sec. 351,Residence,47.0,68.0,male,No,under investigation,Medium,18.371555370651876,73.756932761122
8987/2019,06-04-2019,2019,Bangalore,Karnataka,THEFT,Pickpocketing,IPC-378,Street,46.0,74.0,Male,,,Low,13.019527856289015,77.48606977877101
FIR/KOL/2021/1715,05-04-2021,2021,Kolkata,West Bengal,CYBER CRIME,Hacking,66C IT Act,RESIDENCE,25.0,40.0,m,,closed,low,22.43966305488787,88.29635141505759
FIR24442020,06 June 2020 08:51 PM,2020,Ahmedabad,Gujarat,BURGLARY,Night Burglary,IPC 457,Office,9.0,21.0,,False,UNDER INVESTIGATION,Medium,23.01474286811678,72.4426781394607
FIR41842019,03/03/2019 05:57:00,2019,Bangalore,Karnataka,RIOTING,COMMUNAL RIOT,IPC 147,Residence,1.0,16.0,male,False,PENDING TRIAL,Medium,13.05800455363956,77.64832536201503
FIR22642022,16/03/2022 05:44:00,2022,Delhi,Delhi,CYBER CRIME,IDENTITY THEFT,IT Act 66,Railway Station,27.0,73.0,FEMALE,,,low,28.848428560805328,77.10052477330893
fir/hyd/2019/1223,23/11/2019 23:50:00,2019,Hyderabad,Telangana,CYBER CRIME,IDENTITY THEFT,it act 66,MARKET,36.0,53.0,FEMALE,True,PENDING TRIAL,low,17.52181628223316,78.46213488035748
5562/2017,12/04/2017 16:43:00,2017,Bhopal,Madhya Pradesh,VEHICLE THEFT,CAR THEFT,379 IPC,HIGHWAY,37.0,76.0,,True,UNDER INVESTIGATION,Low,23.313017589136628,77.51201320764693
fir/kol/2023/1993,2023-09-20 21:58:00,2023,Kolkata,West Bengal,DOMESTIC VIOLENCE,Mental Cruelty,ipc 498a,Market,40.0,78.0,FEMALE,No,charge sheeted,MEDIUM,22.42454974871672,88.3932772489143
DEL-2020-1931,05-02-2020,2020,Delhi,Delhi,THEFT,Chain Snatching,ipc 378,Office,9.0,36.0,,N,CHARGE SHEETED,Low,28.754944018529923,76.9941649380466
1252/2016,07 July 2016 10:18 PM,2016,Ahmedabad,Gujarat,THEFT,MOBILE THEFT,Sec 378,School,32.0,57.0,Unknown,,PENDING TRIAL,Low,22.948379017623086,72.51072185511501
FIR/CHE/2020/9310,1583246880,2020,Chennai,Tamil Nadu,EXTORTION,ONLINE EXTORTION,Sec 383,Residence,40.0,29.0,Female,n,CLOSED,medium,13.222661863279397,80.1640939274866
FIR/GUW/2016/5670,1469837580,2016,Guwahati,Assam,ROBBERY,Bank Robbery,IPC 392,OFFICE,42.0,77.0,male,,UNDER INVESTIGATION,HIGH,26.28506537402279,91.62322147467417
FIR97792016,08-05-2016,2016,Chennai,Tamil Nadu,BURGLARY,Night Burglary,457 IPC,Railway Station,34.0,11.0,FEMALE,False,Convicted,Medium,13.231252848274039,80.39825221968233
8392/2022,07/06/2022 04:20:00,2022,Chennai,Tamil Nadu,BURGLARY,house breaking,457 IPC,ATM,21.0,12.0,Female,NO,PENDING TRIAL,Medium,13.205056821519495,80.15101608364
fir/mum/2015/8608,01/04/2015 03:44:00,2015,Mumbai,Maharashtra,ASSAULT,SIMPLE ASSAULT,IPC 351,street,34.0,71.0,UNKNOWN,TRUE,CHARGE SHEETED,Medium,18.94413933346577,72.85438201638648
FIR36442021,13 November 2021 11:11 AM,2021,Jaipur,Rajasthan,CYBER CRIME,PHISHING,it act 66,RESIDENCE,41.0,56.0,Female,n,Under Investigation,low,27.009681473918743,75.88835936444627
fir/che/2019/8553,2019-08-03 21:18:00,2019,Chennai,Tamil Nadu,DOMESTIC VIOLENCE,Dowry Harassment,DV Act 2005,Bank,,48.0,,Yes,CHARGE SHEETED,MEDIUM,13.040994406817203,80.38279070245422
fir/ban/2020/3208,15/12/2020 17:57:00,2020,Bangalore,Karnataka,THEFT,Chain Snatching,IPC 378,,36.0,31.0,MALE,n,UNDER INVESTIGATION,Low,12.911278193071842,77.53689070201861
IND-2020-6261,27/05/20 06:53,2020,Indore,Madhya Pradesh,EXTORTION,ONLINE EXTORTION,383 IPC,SCHOOL,48.0,6.0,MALE,,,medium,,
FIR/KOL/2020/8740,01 October 2020 02:48 PM,2020,Kolkata,West Bengal,FRAUD/CHEATING,Investment Scam,IPC-420,Railway Station,42.0,49.0,Female,,under investigation,Low,,
fir/jai/2021/9263,29/07/2021 15:29:00,2021,Jaipur,Rajasthan,ASSAULT,SIMPLE ASSAULT,IPC 352,Highway,,56.0,,YES,CONVICTED,Medium,26.935480691004237,75.92498794088314
4512/2019,19/09/2019 19:33:00,2019,Delhi,Delhi,CYBER CRIME,Hacking,it act 66,Highway,42.0,50.0,Male,,UNDER INVESTIGATION,low,28.757690197962983,77.0131737376963
FIR/IND/2019/2425,2019-11-04 14:20:00,2019,Indore,Madhya Pradesh,THEFT,CHAIN SNATCHING,Sec 378,Street,17.0,21.0,Female,,CHARGE SHEETED,Low,22.788020473694903,75.8139773621271
fir/nag/2020/5938,04/21/2020 06:29:00,2020,Nagpur,Maharashtra,CYBER CRIME,Hacking,Sec 66 IT Act,RESIDENCE,22.0,,Female,n,PENDING TRIAL,low,21.286359039056176,78.9558938760894
FIR34942022,1670674500,2022,Bhopal,Madhya Pradesh,EXTORTION,THREATENING,ipc 383,RAILWAY STATION,19.0,67.0,Unknown,YES,Closed,medium,23.17586569139927,77.44325112188635
fir/cha/2021/1523,07-01-2021,2021,Chandigarh,Punjab,ROBBERY,Armed Robbery,IPC-392,Highway,45.0,45.0,Female,,Closed,HIGH,30.591883492064124,76.8871988944859
1217/2017,2017-06-17 07:30:00,2017,Mumbai,Maharashtra,BURGLARY,house breaking,IPC 457,RESIDENCE,24.0,53.0,m,,,Medium,999.0,-999.0
FIR43742016,1470694920,2016,Surat,Gujarat,EXTORTION,ONLINE EXTORTION,ipc 383,Bank,20.0,67.0,F,,Charge Sheeted,medium,21.203316623006412,72.88224418161586
PAT-2017-1806,1491438240,2017,Patna,Bihar,ASSAULT,Road Rage,IPC 351,OFFICE,12.0,79.0,Female,NO,CLOSED,Medium,25.68401238730804,85.09193874401053
FIR/HYD/2019/1340,13 November 2019 07:39 PM,2019,Hyderabad,Telangana,FRAUD/CHEATING,UPI Fraud,Sec 420,street,14.0,73.0,Female,no,Charge Sheeted,Low,17.453251460965344,78.41857000533524
FIR67892023,02/11/23 18:25,2023,Kochi,Kerala,ROBBERY,armed robbery,IPC-392,Office,37.0,68.0,m,,CLOSED,HIGH,10.04198357773836,76.12787478549892
FIR/JAI/2016/2990,1479846360,2016,Jaipur,Rajasthan,DRUG OFFENSE,Possession,NDPS Act,Office,43.0,,Male,No,under investigation,LOW,26.85909159263696,75.87814219956056
FIR55342021,1631914620,2021,Ahmedabad,Gujarat,VEHICLE THEFT,CAR THEFT,ipc 379,OFFICE,38.0,48.0,MALE,Y,under investigation,Low,22.947148854778995,72.56747748042766
fir/ban/2018/7713,2018-08-23 06:55:00,2018,Bangalore,Karnataka,FRAUD/CHEATING,Investment Scam,IPC 420,STREET,16.0,28.0,F,NO,Acquitted,Low,12.925413384302129,77.58489343918903
5432/2016,16/08/2016 06:12:00,2016,Pune,Maharashtra,ROBBERY,armed robbery,392 IPC,Street,29.0,,Female,no,CLOSED,HIGH,18.446131225882297,73.99037531301836
CHA-2016-1146,06/04/2016 13:55:00,2016,Chandigarh,Punjab,RAPE/SEXUAL ASSAULT,Molestation,376 IPC,BANK,14.0,8.0,Male,N,Pending Trial,High,30.65407510180485,76.81135048802851
fir/mum/2020/2233,2020-03-17 04:45:00,2020,Mumbai,Maharashtra,RIOTING,communal riot,IPC 148,Bank,47.0,28.0,m,NO,,Medium,,
FIR70292021,27/04/21 13:59,2021,Surat,Gujarat,ROBBERY,ARMED ROBBERY,IPC-392,Residence,11.0,76.0,f,no,CONVICTED,HIGH,21.156509426858598,72.96884615695404
FIR73192016,22/02/2016 02:04:00,2016,Pune,Maharashtra,THEFT,PICKPOCKETING,378,Railway Station,23.0,43.0,Male,y,CHARGE SHEETED,Low,,
FIR39242022,22 August 2022 02:50 PM,2022,Delhi,Delhi,THEFT,Shoplifting,IPC 378,RESIDENCE,10.0,,Male,,Charge Sheeted,Low,28.804739378689618,77.02264818052699
FIR57092023,27/12/23 17:50,2023,Bangalore,Karnataka,VEHICLE THEFT,CAR THEFT,379 IPC,Market,4.0,9.0,Male,NO,Acquitted,Low,,
7992/2023,26/10/2023 08:31:00,2023,Delhi,Delhi,KIDNAPPING,ABDUCTION FOR RANSOM,IPC-363,SCHOOL,21.0,19.0,,No,Acquitted,High,28.683863556599416,77.17785875698948
1097/2018,2018-07-06 20:15:00,2018,Hyderabad,Telangana,THEFT,MOBILE THEFT,IPC-378,Office,35.0,33.0,Unknown,NO,charge sheeted,Low,17.363547560461075,78.61163535289157
1772/2021,15 March 2021 02:56 AM,2021,Kanpur,Uttar Pradesh,RAPE/SEXUAL ASSAULT,SEXUAL ASSAULT,ipc 376,School,16.0,30.0,Unknown,No,CLOSED,High,,
9532/2022,29 December 2022 07:52 AM,2022,Pune,Maharashtra,THEFT,Mobile Theft,Sec 378,RAILWAY STATION,,75.0,F,False,,Low,18.48254667580561,73.81776195145277
MUM-2015-6556,06 May 2015 02:51 PM,2015,Mumbai,Maharashtra,RAPE/SEXUAL ASSAULT,Molestation,POCSO Act,Railway Station,,14.0,Female,Y,Charge Sheeted,High,19.02162004073597,72.7668214906998
FIR/JAI/2015/4265,2015-07-26 23:55:00,2015,Jaipur,Rajasthan,COUNTERFEITING,FAKE CURRENCY,ipc 489a,,33.0,44.0,FEMALE,FALSE,charge sheeted,Low,26.81875471393095,75.74335022593533
CHE-2021-5881,2021-12-01 08:14:00,2021,Chennai,Tamil Nadu,KIDNAPPING,CHILD KIDNAPPING,IPC-363,Residence,40.0,6.0,,No,Under Investigation,High,13.201814623285385,80.18187310215964
fir/bhu/2018/5438,1522845480,2018,Bhubaneswar,Odisha,DOMESTIC VIOLENCE,Mental Cruelty,Sec 498A,street,49.0,,MALE,No,Pending Trial,MEDIUM,20.383499703460522,85.84198537938923
FIR13092023,30/09/23 07:31,2023,Delhi,Delhi,THEFT,shoplifting,378 IPC,street,36.0,55.0,M,NO,under investigation,Low,28.773017438300304,77.13997826110989
3447/2021,12/01/2021 17:20:00,2021,Chandigarh,Punjab,EXTORTION,THREATENING,IPC 383,Market,17.0,67.0,MALE,no,,medium,30.610303635222326,76.71064603083231
3577/2020,2020-03-16 22:08:00,2020,Delhi,Delhi,CYBER CRIME,Phishing,IT ACT 66,RESIDENCE,45.0,9.0,,,closed,low,28.848998558922332,76.9777703395971
DEL-2021-3086,1635044880,2021,Delhi,Delhi,ASSAULT,Grievous Hurt,ipc 351,HIGHWAY,8.0,,Unknown,yes,charge sheeted,Medium,28.812626934034764,76.99563037250796
PUN-2021-8576,22/12/2021 04:08:00,2021,Pune,Maharashtra,THEFT,Chain Snatching,378,OFFICE,8.0,25.0,Male,,CONVICTED,Low,,
fir/hyd/2022/7543,02/04/2022 04:33:00,2022,Hyderabad,Telangana,VEHICLE THEFT,CAR THEFT,MVA Sec 185,Market,25.0,58.0,male,,CHARGE SHEETED,Low,17.31015703938215,78.62142220762013
4752/2020,04/03/2020 15:22:00,2020,Bangalore,Karnataka,MURDER,Premeditated,302 IPC,Street,28.0,49.0,Female,yes,CLOSED,High,12.977475824281926,77.57359769641583
CHE-2015-5451,23-07-2015,2015,Chennai,Tamil Nadu,CYBER CRIME,HACKING,66C IT Act,Bank,29.0,76.0,Female,TRUE,CHARGE SHEETED,low,13.119937183394699,80.13902795595853
FIR90942020,1596786360,2020,Kolkata,West Bengal,THEFT,PICKPOCKETING,378 IPC,street,21.0,30.0,male,False,closed,Low,22.541376328895403,88.49430030664026
fir/mum/2021/6038,1611007260,2021,Mumbai,Maharashtra,CYBER CRIME,Phishing,IT ACT 66,ATM,26.0,150.0,male,N,Convicted,low,19.197348214040183,72.97973822443565
fir/ban/2019/7423,04/04/2019 17:02:00,2019,Bangalore,Karnataka,EXTORTION,Threatening,IPC 383,Street,44.0,30.0,Male,,Closed,medium,12.942803312107785,77.6358364355468
FIR/CHE/2019/2555,25-08-2019,2019,Chennai,Tamil Nadu,THEFT,Mobile Theft,378 IPC,,49.0,34.0,Unknown,,UNDER INVESTIGATION,Low,13.063505890137332,80.31205655733474
FIR/GUW/2016/6325,20/02/16 10:04,2016,Guwahati,Assam,ASSAULT,simple assault,351 IPC,ATM,,10.0,MALE,yes,CLOSED,Medium,26.07753065669347,91.82469336967718
FIR/BAN/2019/3190,1554476700,2019,Bangalore,Karnataka,ASSAULT,ROAD RAGE,IPC 351,Street,35.0,6.0,FEMALE,,Under Investigation,Medium,12.962274122782679,77.61902972816824
JAI-2015-3901,08/01/15 00:12,2015,Jaipur,Rajasthan,ATTEMPT TO MURDER,stabbing,307 IPC,School,3.0,16.0,,,Convicted,high,26.981145176988374,75.74282682733747
DEL-2017-4861,07/10/17 01:32,2017,Delhi,Delhi,THEFT,Pickpocketing,Sec 378,HIGHWAY,44.0,5.0,,N,Acquitted,Low,28.718908267450388,77.16879188983465
FIR88542016,1476806160,2016,Bangalore,Karnataka,DOMESTIC VIOLENCE,Dowry Harassment,Sec 498A,RAILWAY STATION,34.0,42.0,female,FALSE,CLOSED,MEDIUM,12.981233188560285,77.6817312605793
3907/2018,05-10-2018,2018,Kolkata,West Bengal,EXTORTION,THREATENING,Sec 383,MARKET,15.0,8.0,MALE,,CONVICTED,medium,22.57755485075356,88.41838547396122
FIR/JAI/2019/3510,1567265040,2019,Jaipur,Rajasthan,RIOTING,Political Violence,IPC 147,BANK,24.0,28.0,Unknown,no,Closed,Medium,26.851656362851788,75.7348476372255
MUM-2018-4106,04/17/2018 22:50:00,2018,Mumbai,Maharashtra,FRAUD/CHEATING,ONLINE FRAUD,IPC-420,Highway,31.0,30.0,MALE,n,charge sheeted,Low,19.139085424552334,72.93453619687557
fir/del/2019/2598,1555258680,2019,Delhi,Delhi,ROBBERY,armed robbery,ipc 392,RESIDENCE,43.0,35.0,F,NO,closed,HIGH,28.850916411927113,77.14786392091638
fir/mum/2015/9928,13/11/2015 13:44:00,2015,Mumbai,Maharashtra,FRAUD/CHEATING,ONLINE FRAUD,IPC-420,ATM,36.0,79.0,Female,N,Acquitted,Low,18.960224940825583,72.9482040190136
FIR/BHU/2021/7185,2021-12-06 02:03:00,2021,Bhubaneswar,Odisha,ASSAULT,GRIEVOUS HURT,IPC 352,RESIDENCE,5.0,,M,no,,Medium,20.416765798402604,85.77722840781556
FIR55592021,17/03/2021 11:23:00,2021,Chennai,Tamil Nadu,THEFT,Mobile Theft,IPC 378,ATM,41.0,7.0,Unknown,no,Under Investigation,Low,13.218680103453076,80.15735187472397
LUC-2019-7741,17/08/19 13:20,2019,Lucknow,Uttar Pradesh,BURGLARY,Night Burglary,IPC 457,STREET,,7.0,female,No,Acquitted,Medium,26.850077952728476,81.04147422094425
BHO-2018-3296,05/02/2018 18:18:00,2018,Bhopal,Madhya Pradesh,COUNTERFEITING,fake currency,ipc 489a,street,18.0,29.0,Female,,Acquitted,Low,23.28166934927305,77.54809774870691
FIR/CHE/2019/7075,27-01-2019,2019,Chennai,Tamil Nadu,FRAUD/CHEATING,UPI Fraud,420,School,36.0,,female,N,UNDER INVESTIGATION,Low,12.941374690291186,80.3023608264024
fir/mum/2022/3863,06/08/2022 01:45:00,2022,Mumbai,Maharashtra,ROBBERY,Unarmed Robbery,Sec 392,,27.0,70.0,Unknown,Yes,Pending Trial,HIGH,19.07691033567845,72.988819743548
fir/ahm/2021/4633,2021-06-15 09:00:00,2021,Ahmedabad,Gujarat,DRUG OFFENSE,possession,ndps act,RAILWAY STATION,6.0,39.0,Male,n,Under Investigation,LOW,23.1102941818782,72.67828656659213
FIR87492018,29/03/18 06:53,2018,Delhi,Delhi,VEHICLE THEFT,Car Theft,379 IPC,STREET,47.0,7.0,Male,No,under investigation,Low,28.79340644724641,77.0707980185567
CHA-2022-1871,29/07/2022 21:55:00,2022,Chandigarh,Punjab,OTHER IPC OFFENSE,Public Nuisance,IPC 151,School,20.0,47.0,female,Yes,Acquitted,Low,30.692838342094916,76.76889847266223
FIR/CHE/2017/2280,01/01/2017 17:56:00,2017,Chennai,Tamil Nadu,RAPE/SEXUAL ASSAULT,Rape,Sec 376,STREET,20.0,16.0,,No,PENDING TRIAL,High,12.94977641629464,80.16093300051247
BAN-2018-2946,12/25/2018 00:49:00,2018,Bangalore,Karnataka,VEHICLE THEFT,Two Wheeler,ipc 379,Railway Station,8.0,55.0,Male,,CONVICTED,Low,12.990303364156874,77.66674533238016
fir/bhu/2020/1788,11 December 2020 06:50 AM,2020,Bhubaneswar,Odisha,CYBER CRIME,Hacking,it act 66,RAILWAY STATION,38.0,40.0,Male,,CONVICTED,low,,
DEL-2019-6716,13 March 2019 03:08 AM,2019,Delhi,Delhi,THEFT,shoplifting,IPC-378,Bank,41.0,,Male,,Charge Sheeted,Low,28.603380867611502,77.21463049744946
BAN-2020-2546,08/27/2020 11:37:00,2020,Bangalore,Karnataka,ASSAULT,simple assault,351 IPC,Railway Station,6.0,45.0,F,N,closed,Medium,12.841676844414435,77.54974367079969
7472/2022,11/07/2022 04:52:00,2022,Bhubaneswar,Odisha,THEFT,Chain Snatching,IPC-378,MARKET,9.0,,Male,no,UNDER INVESTIGATION,Low,20.440524602388916,85.96100544877484
FIR75642021,16 May 2021 10:59 PM,2021,Indore,Madhya Pradesh,ARSON,PROPERTY FIRE,IPC 435,,48.0,37.0,,TRUE,CHARGE SHEETED,High,22.847090379310664,75.90689153166004
fir/hyd/2021/7578,01/18/2021 00:06:00,2021,Hyderabad,Telangana,THEFT,MOBILE THEFT,378 IPC,Railway Station,49.0,-1.0,Male,False,Acquitted,Low,17.500129222836943,78.48675749838863
fir/hyd/2016/1383,05/05/2016 08:23:00,2016,Hyderabad,Telangana,THEFT,Pickpocketing,378,Market,26.0,59.0,male,FALSE,Under Investigation,Low,17.420964821456263,78.36517088623035
JAI-2023-5966,1687448280,2023,Jaipur,Rajasthan,BURGLARY,Night Burglary,IPC 457,HIGHWAY,47.0,17.0,,False,Pending Trial,Medium,27.009369375646205,75.79547667672945
KOL-2016-4496,02/11/2016 15:21:00,2016,Kolkata,West Bengal,FRAUD/CHEATING,BANK FRAUD,IPC 420,BANK,14.0,10.0,male,,Closed,Low,,
8792/2018,22/03/2018 23:16:00,2018,Jaipur,Rajasthan,FRAUD/CHEATING,INVESTMENT SCAM,420,Street,28.0,28.0,Female,Yes,,Low,26.862747762012418,75.72345037660638
PUN-2015-6911,23/12/2015 23:05:00,2015,Pune,Maharashtra,BURGLARY,HOUSE BREAKING,Sec. 457,street,14.0,37.0,M,NO,CLOSED,Medium,18.420525076572737,73.75046073268507
FIR/CHE/2017/4475,23-07-2017,2017,Chennai,Tamil Nadu,FRAUD/CHEATING,Bank Fraud,IPC-420,STREET,44.0,,MALE,YES,CHARGE SHEETED,Low,13.105468951803385,80.14850205178178
FIR58442022,01 May 2022 01:35 AM,2022,Bhubaneswar,Odisha,ATTEMPT TO MURDER,Stabbing,307 IPC,OFFICE,23.0,21.0,FEMALE,No,CONVICTED,high,20.256188257884965,85.92722116203866
fir/ahm/2016/9678,1453769820,2016,Ahmedabad,Gujarat,VEHICLE THEFT,CAR THEFT,ipc 379,Office,,67.0,Female,,Charge Sheeted,Low,22.984708802778936,72.60266912308704
fir/bho/2021/4898,07/02/2021 00:46:00,2021,Bhopal,Madhya Pradesh,DRUG OFFENSE,possession,Sec 20 NDPS,Highway,6.0,63.0,,n,CONVICTED,LOW,23.210038401596286,77.46103993647311
7342/2017,1497836820,2017,Hyderabad,Telangana,ASSAULT,Grievous Hurt,351 IPC,RESIDENCE,12.0,61.0,Male,,Acquitted,Medium,,
